Date,Open,High,Low,Close,Adj Close,Volume
2023-07-19,122.820000,123.190002,121.360001,121.959999,121.510941,64700
2023-07-20,122.029999,123.290001,122.029999,123.120003,122.666672,77200
2023-07-21,123.440002,123.620003,122.360001,122.360001,121.909470,26300
2023-07-24,122.199997,122.650002,122.059998,122.300003,121.849693,53800
2023-07-25,120.959999,122.129997,120.000000,122.080002,121.630501,101300
2023-07-26,122.290001,123.269997,122.120003,122.970001,122.517220,47100
2023-07-27,123.500000,123.500000,121.589996,121.919998,121.471085,39400
2023-07-28,122.730003,123.250000,122.459999,122.910004,122.457451,30200
2023-07-31,123.440002,125.089996,123.440002,125.089996,124.629410,73400
2023-08-01,124.779999,125.419998,124.480003,125.050003,124.589569,78400
2023-08-02,123.559998,124.029999,121.400002,121.660004,121.212051,72700
2023-08-03,121.599998,121.599998,120.470001,121.110001,120.664070,52200
2023-08-04,122.110001,123.489998,122.110001,122.160004,121.710213,58700
2023-08-07,122.879997,123.459999,122.599998,123.430000,122.975533,37100
2023-08-08,122.360001,122.669998,121.709999,122.279999,121.829765,36200
2023-08-09,123.150002,123.620003,122.029999,122.570000,122.118690,65600
2023-08-10,122.750000,123.459999,121.449997,121.739998,121.291756,40600
2023-08-11,122.000000,122.250000,121.320000,122.250000,121.799873,26000
2023-08-14,121.870003,122.419998,121.839996,121.970001,121.520905,50000
2023-08-15,121.410004,121.639999,119.769997,119.769997,119.329002,50400
2023-08-16,119.349998,120.239998,119.230003,119.389999,118.950401,67700
2023-08-17,119.790001,119.860001,118.209999,118.209999,117.774750,56400
2023-08-18,117.349998,119.889999,117.089996,119.349998,118.910553,56400
2023-08-21,119.529999,120.190002,119.309998,119.750000,119.309082,48300
2023-08-22,120.279999,120.720001,119.440002,120.550003,120.106133,48800
2023-08-23,120.610001,121.790001,120.610001,121.290001,120.843414,79800
2023-08-24,120.830002,120.830002,118.559998,118.559998,118.123451,39500
2023-08-25,119.000000,119.519997,117.790001,118.949997,118.512024,40300
2023-08-28,119.440002,120.900002,119.250000,120.800003,120.355209,61500
2023-08-29,120.360001,121.580002,119.849998,121.459999,121.012779,23800
2023-08-30,121.440002,123.000000,121.440002,122.320000,121.869614,43200
2023-08-31,122.660004,123.199997,122.070000,122.089996,121.640465,61900
2023-09-01,122.949997,123.279999,122.269997,122.419998,121.969246,44900
2023-09-05,122.110001,122.110001,120.190002,120.190002,119.747459,40000
2023-09-06,120.739998,121.660004,119.639999,119.680000,119.239334,212800
2023-09-07,119.379997,119.430000,118.290001,119.150002,118.711288,51700
2023-09-08,119.040001,119.040001,117.779999,117.930000,117.495781,77400
2023-09-11,118.269997,118.470001,116.739998,117.379997,116.947800,61400
2023-09-12,116.779999,117.279999,116.449997,116.709999,116.280273,107100
2023-09-13,116.699997,117.070000,115.669998,116.000000,115.572884,50500
2023-09-14,116.309998,116.910004,116.099998,116.900002,116.469574,50700
2023-09-15,116.489998,117.120003,115.900002,116.559998,116.130821,107100
2023-09-18,116.459999,117.389999,115.959999,116.480003,116.175713,48500
2023-09-19,115.919998,116.550003,115.139999,115.480003,115.178322,50800
2023-09-20,116.040001,116.459999,114.440002,114.440002,114.141037,39900
2023-09-21,113.860001,113.860001,112.339996,112.339996,112.046516,52000
2023-09-22,112.809998,112.809998,111.330002,111.349998,111.059105,117700
2023-09-25,110.860001,112.000000,110.449997,111.489998,111.198738,48700
2023-09-26,110.910004,111.680000,110.010002,110.080002,109.792427,96800
2023-09-27,110.639999,111.989998,110.559998,111.580002,111.288506,58000
2023-09-28,111.559998,112.919998,111.269997,111.849998,111.557800,51700
2023-09-29,112.629997,113.180000,111.720001,112.099998,111.807144,47400
2023-10-02,111.849998,112.349998,110.629997,110.919998,110.630226,61600
2023-10-03,110.330002,110.879997,109.580002,109.769997,109.483231,97200
2023-10-04,109.739998,110.169998,108.480003,109.599998,109.313675,66800
2023-10-05,109.489998,110.139999,109.080002,109.599998,109.313675,71400
2023-10-06,108.940002,111.440002,108.320000,110.820000,110.530495,66800
2023-10-09,113.139999,115.629997,112.949997,115.480003,115.178322,370100
2023-10-10,116.339996,117.570000,115.690002,116.790001,116.484894,232100
2023-10-11,117.419998,118.080002,116.519997,117.339996,117.033455,184200
2023-10-12,117.779999,117.779999,114.099998,115.010002,114.709549,164400
2023-10-13,115.389999,115.860001,114.790001,115.410004,115.108505,106800
2023-10-16,116.419998,116.949997,115.220001,116.769997,116.464943,211200
2023-10-17,116.129997,118.709999,116.000000,117.510002,117.203018,135100
2023-10-18,118.029999,118.470001,117.000000,117.190002,116.883850,330400
2023-10-19,117.279999,118.339996,116.199997,116.529999,116.225571,222900
2023-10-20,116.610001,116.610001,114.660004,114.750000,114.450226,100700
2023-10-23,114.559998,115.949997,113.830002,114.040001,113.742081,128700
2023-10-24,115.250000,115.639999,113.849998,114.180000,113.881714,156200
2023-10-25,114.830002,114.989998,113.379997,113.470001,113.173569,146600
2023-10-26,113.760002,115.529999,113.480003,114.040001,113.742081,107400
2023-10-27,114.239998,114.370003,111.860001,112.279999,111.986679,160100
2023-10-30,112.830002,113.599998,112.199997,113.129997,112.834457,134200
2023-10-31,113.400002,115.239998,113.239998,115.110001,114.809288,69600
2023-11-01,115.529999,116.180000,114.750000,116.139999,115.836594,76100
2023-11-02,117.620003,120.029999,117.620003,120.029999,119.716431,170000
2023-11-03,121.129997,122.389999,121.029999,121.139999,120.823532,112400
2023-11-06,121.309998,121.470001,119.879997,120.169998,119.856064,139300
2023-11-07,120.000000,120.919998,119.699997,120.519997,120.205147,184600
2023-11-08,120.040001,120.040001,118.419998,118.949997,118.639252,147200
2023-11-09,120.790001,121.510002,119.120003,119.760002,119.447136,73400
2023-11-10,120.269997,121.139999,119.500000,120.930000,120.614082,54300
2023-11-13,121.199997,123.269997,120.930000,122.699997,122.379456,138400
2023-11-14,124.690002,125.589996,124.449997,125.410004,125.082382,129000
2023-11-15,125.980003,127.160004,125.519997,125.519997,125.192085,102400
2023-11-16,125.510002,125.510002,123.589996,124.040001,123.715958,154500
2023-11-17,124.739998,125.000000,124.209999,124.470001,124.144836,56100
2023-11-20,125.250000,126.349998,125.019997,125.879997,125.551147,87100
2023-11-21,125.779999,125.779999,124.879997,125.589996,125.261902,56200
2023-11-22,125.699997,126.040001,125.209999,125.910004,125.581078,54800
2023-11-24,125.849998,127.300003,125.849998,127.180000,126.847755,36700
2023-11-27,126.889999,126.889999,125.760002,126.370003,126.039871,84800
2023-11-28,126.709999,127.169998,125.309998,126.110001,125.780548,61800
2023-11-29,126.849998,127.129997,125.449997,125.660004,125.331726,81300
2023-11-30,126.529999,127.940002,126.010002,127.839996,127.506027,84100
2023-12-01,127.870003,130.169998,127.400002,130.169998,129.829941,160500
2023-12-04,129.080002,130.690002,128.630005,130.690002,130.348587,92600
2023-12-05,130.039993,130.300003,128.869995,128.990005,128.653030,51500
2023-12-06,129.320007,130.550003,128.979996,129.309998,128.972183,128400
2023-12-07,129.850006,129.850006,128.279999,129.729996,129.391083,98000
2023-12-08,129.820007,131.169998,129.550003,131.160004,130.817352,98400
2023-12-11,130.850006,132.000000,130.830002,131.809998,131.465652,96800
2023-12-12,131.919998,132.649994,131.270004,132.259995,131.914474,74200
2023-12-13,132.500000,134.660004,131.779999,134.639999,134.288269,65900
2023-12-14,135.119995,135.770004,132.720001,133.710007,133.360703,87700
2023-12-15,133.729996,134.320007,132.830002,133.210007,132.862015,69500
2023-12-18,133.229996,133.539993,132.580002,132.839996,132.839996,78100
2023-12-19,133.190002,134.960007,133.190002,134.899994,134.899994,156700
2023-12-20,134.479996,134.929993,131.539993,131.649994,131.649994,121100
2023-12-21,133.449997,133.979996,133.000000,133.940002,133.940002,82900
2023-12-22,134.889999,135.940002,134.500000,135.529999,135.529999,78300
2023-12-26,135.869995,136.830002,135.250000,136.330002,136.330002,91200
2023-12-27,136.619995,136.889999,135.860001,136.330002,136.330002,84900
2023-12-28,136.029999,136.750000,135.610001,136.110001,136.110001,82400
